,content
813,"I am sorry to be such a pest!  i do truly wish I had the funds to pay for a professional to read for me but I just can't find any extra money right now. Thank to all for your generous help here.I asked:  ""What is my purpose in life - what should I be doing with me?""Line 2 : ‘The chasm has sheer sides. Seek small gains.’I interpret this to mean it's dangerous to be overly ambitious in solving life's problems and that by reading the corresponding line of Hex 8:‘Seeking union’s origin, inside.Constancy, good fortune.’Going inside for the answers is what will work for me now ..... but I was asking the question with more of a career path in mind rather than my relationship.  Interesting though, in my journal almost a year ago today when I asked what the future of my relationship with Dave was going to be, I got the same Hex.  A few days later when I asked what Dave wants with me:  Same answer.  At the time, I read this as a go ahead with the relationship and went for it!  And step by step, I have been rather miserable in the meantime Please, somebody tell me how I have misinterpreted  this line and help me to know how to get the union I am seeking inside and out? "
814,"I don't know what is preferred in this group for following up one's own topics but since I started communicating here with Hex 10 and the thread is old, I started a new one.  Hope that's ok.I first asked what group I should join to help me delve to the depths & come up with the water and got 10>58 so I came here to find some joy and Boy Howdy!  I have that.  Thank you all for your generosity.  I got Hex 10 again tonight and I'd like to share my little insights with you all.  I hope you don't mind me making these Long Posts :bows:I have been chasing the Tiger for a month now and I finally have something besides the tail so bear with me.  It's been right in front of my face all along but I didn't get it until I read the text below.  Thank you to the Poster , which I should have made note of, sorry. The URL was posted in one of the archived posts I've been pouring over for days now, trying trying to understand just what is my block.  Anyone else would have seen it in a heartbeat but please don't berate me for coming late. Some of us never grow up Correct conduct: socialization, manners, knowing how to comport oneself, maintaining composure, not creating a scene by acting immaturely, not embarrassing oneself in public or in private, not creating shame for oneself or others, not breaking down and loosing it completely just for drama.  Where in my childhood did I fail to make the transition that I need to go back and finish; strip away now?  Jealousy.PHP:http://www.psychic-revelation.com/reference/i_l/i_ching/hexagram10.htmlInterpreting The I Ching - Hexagram 10 LuI Ching Hexagram: 10Name: Lu.Keyphrase: Correct conduct.Formed By The Trigrams: Heaven over Lake.Imagery: The sky over a lake.General: A successful journey can be assured if one careful step at a time is taken.Love: Goodwill is the key to solving any relationship issues.Business: Achieving success within business is best accomplished treating others with courtesy and respect.[B][U]Personal: Focus on ridding yourself of any feelings of envy or jealousy.[/U][/B]Overview: Lu relates to the need to develop your social skills and to make sure that they are sincere and not insincere. It indicates a need to make sure that jealousy or envy are not present within your life and if they are, to take steps to resolve them. Lu is all about inequality and the need to avoid it. (hope I did that right - I no speak HTML)My father was a man who liked his women jealous of him.  He fostered competition and there was one between my step-mother and I over his attention.  I was such a brat!  I told her I didn't have to do what she told me to do, she was not my mother.  I told him it was me or her and he picked her.  What did that twist in me?  The men I pick go out of the way to stir me up over this and I just keep on picking them ...  How does one fix this altogether undesirable trait one has suddenly acknowledged as being the primary reason for all one's relationship failures?  Crap!  Back to the couch for me!Sorry for intruding the personal stuff but that's the way I relate to people.  Maybe too much information for some but this also adds clarity to something about Hex 23 that had eluded me as well.  Stripping away is only frightening until you realize that what you're giving up is useless and even harming you if you keep it.  I'm already generating more question for the Yi "
815,"Did a reading yesterday and today about two different, but somewhat relative issues and I think I've got a fairly good idea of the message in them. but I'd really like some insight from here for a better (and more objective) understanding!Yesterday I asked about an issue with ""M""...a very strange and detailed issue that may have had more to do with MY fears than anything really about him, but I had to ask IC..  had this really strange and sudden feeling about him....and it wasn't a good ""feeling"" but rather very unsettling ""suspicious"" type sense...rarely do i have those without something to prompt them..so this really threw me off.  Asked the IC what it was about and received : Hex 2.1.2. -->19Then later yesterday, I had to make a choice regarding ""M"".  I was very undecided about being honest and straight or vague and subtly deceitful (but the latter is what would have been the most considerate).  I'm just not at all used to the whole dating scene!  I'm learning as I go...or trying to!!  Now, I realize all over again why I dislike dating so much!!!  I'm just not good at it!!  Anyway, true to myself, I chose the difficult, but straight and honest response.  ASked IC about how that choice went and received Hex30.6. --> 55.Thanks for reading this..I'd love and appreciate your thoughts as i find my way through this strange and unknown land of ""dating""!!!:bows:"
816,"Here is one more thing that is on my mind.I was trained by one of my ex'es in the stock market trading, specifically options trading.it was his job and I was an apprentice type of thing.My theoretical knowledge is still there, as usual, I'm quite fearfuland not sure I'll have any success with it. Yi advised me with 21, lines 3 and 5 changing to 13.  The question was what is your best advice about trading.I wish there would be 14 somewhere in the picture , but there is none.I always had trouble with 21, problem solving I guess?Could it be that the advice here is to kinda forget about the idea, it's too risky and dangerous, and go play with other kids in the yard?Thanks.-CCLast edited: Aug 11, 2010"
817,"Hi All,  Any insight would be really appreciated.  My dog is really sick and I'm debating whether to put him through a surgery.  My instinct says to do it, but I'm concerned he won't make it.  My choice is surgery and a better chance at longterm results, or keep him going best I can before he will need to be put to sleep (likely be quite soon)Will Bobby make it through surgery? Hex 7.1.2.6 to 27.I think this says yes, but to make sure I take him to the right hospital.  Will I find the money for Bobby's surgery? Hex 3.2 to 60Okay, this is scary....I don't have much time to find the money.  This is saying it will come, but from an unexpected source.  A source that is negative and I should refuse.  However, if i wait a better source will come. I am going to try to sell my jewelry tomorrow, so maybe I should not accept the first offer?Thanks in advance!!"
818,"Hi,I've asked the IC: ""What attitude should I have towards X (person) in relation to money?""37.1>53Many thanks in advance for any insights:bows:"
819,"Hi guys,I am going to begin with practising scrying very soon. To those of you that don't know what scrying is, let me explain. Scrying is basically traveling to the astral realms. Usually this is done through crystall balls or black mirros, but can also be done in meditation(shamanic journeys). What you do is, you hold an image or a symbol in your mind and then travel through the door of that image in the astral realm and see what that symbol/image is all about. So for example if you want to get to know hexagram 19 better, you travel with that symbol in the astral realms and get to know it more.Anyways, my question to the iching was: What are the prospects if I begin practising scrying? and I got hex 50.2>56 as answer.I lol'd when I read hex 56 which means traveling/foreign countries, that's basically what scrying is all about. But I have a question on the second line. How can this line express itself, I mean it says that your friends may even envy you and such, but can It also mean other groups/people aswell? are my friends seriously going to  envy me? They also practise these types of things, but not scrying.Can it mean that other spirits in those realms will confront me? So what say you?Last edited: Aug 10, 2010"
820,"Sorry, more question.OK, I'm in a bad moment of my life now. I see my future with hungry eyes, but I can't find a job. I'm a foreigner, living in another country for more than one year now. I had one very simple job as soon as I arrived, but I decided to leave some time ago, because my boss was interested in me.It has been now 5 months looking for another job in a better position (related to my previous experience in my original country), but noone even calls me for interview. I had only one interview in these 5 months (it was great, because I was called to the second interview too), but I didn't get it.I don't know what is wrong with me. If the problem is because I'm a foreigner. It is upsetting.So I asked IC: What is the new outcome for my professional life (what is going to happen in the near future)? And I got 21.1.3>56I have read some previous posts here about 21.1 and 21.3, but I couldn't find any reading related to the wanderer as second hex. And the wanderer is really interesting me. I could read that both 21.1 and 21.3 are mild obstacles that I cannot avoid, because they are not really my fault. But the wanderer.... does it mean the reason is really because I am a foreinger, or that I don't have friends to recommend me to anyone or is it saying I will have to move again as to fight these obstacles?The wandering about the reason for not getting jobs being I'm a foreigner was not on my head when I asked IC. On the contrary, I was really hopefull of a nice answer .Thank you friends, once more.xxxIesha"
821,"Ok, friends. No more questions related to love life. I got it lol.This question I did is quite strange, I know. I'm a poet and I know a lot of them.I today received a link from a poet who has been just published online. I got a little bit scared, because the poetry is like a second (creative and f***ing great) reading of my work. It's beautiful, but I find it strange. Could be a coincidence, of course. But I have poet friends that are used to create pen names to create different things and not to be related to the person's already know work, in case it is received as a bad work, for example.So I asked:who is this name(pen name)?10.1.4>59Is X (a poet I know) related to this pen name?43.2.5.6>30Is this work a re-reading/re-creation based on my work?57.5.6>46I would really appreciate your help this time. It is serious, since it is related to my work. I'm quite surprised, so I'm afraid of reading the hexagrams in a wrong way. I really need a experienced and external view on these, please, please.Thank you in advance :bows:"
822,"Ok, it seems I need to ask clearer questions.I have a choice to relocate at the present moment, potentially 3 places, and they are all similar for me, many things should be accounted for.  I really have hard time deciding as it is a job relocation essentially bit eventually I'll leave my current job and probably stay in the country for good. I feel myfate will change based on this decision too.It's a permanent place of abode for me.I do not expect will actually name the country for me it's my decision, and i need help o make this decision..My question on the best advice about a country to go to gave me 60 flat. Argghhhh, Hate the non changing hex.Limits and connection. Hmmmm....I remember  I got 60, line 6 before to a different question, and it seems to be related.having 3 countries on my plate is certainly does not sound as a limitation to me.I hope it's actually an advice and not a mere reflection of my insecurities about this decision making process.If you feel like commenting I'm very grateful.Thank you-CCLast edited: Aug 9, 2010"
823,"Hello folks,Been looking to move to a different part of town that feels more like ""home."" I've been fairly patient as there's been so much flux in prices, etc and I want just the right place to flourish in.I asked: what strategy will be most effective to find my correct home now?11.5>5The high/low aspects made me think maybe I have to find a middle ground between price and area. Or continue with being patient and the right one will come along. ""Will I find the right home for me in the near future?""Hx 1 unchangedI know there is great energy in Hex 1 and I've been putting energy into looking; perhaps it's confirmation that I will, if I remain active in my efforts and tune into my hunches and impulses. And maybe just go see more places, be constant to bear fruit now.Thoughts and insights would be appreciated!Thank you LR"
824,"Greetings.  I asked to look at 2 scenarios.One is that I 'give up' and move my daughter and I from LA to Seattle to be with the man I'm dating, and the question was 'Seattle to Culebra?' which means Seattle then creating an eco low-tech hotel/ spa in Culebra... like is that the easiest route?The Yi said 42.1.6 to Hex 8The second scenario was LA first ?Answer: Hex 14.3.4 to Hex 41.The ideal is the latter, as we both have 'brands' we're working on repositioning that are lucrative and this is a step FORWARD for both of us, and a better life for my daughter... but there's been obstacles lately.I 'get' from this, that LA has 'wealth' inside the potential, but it's how we cultivate it.I'm interested in the juxtaposition of increase in the Seattle situ vs the decrease in LA.Wonder if that means LA doesn't get us to Culebra, but Seattle does?And does that matter?It's all in the journey of course.... "
825,"I thought long and hard about the situation and asked ""how do I do this, what directions should I take?"" I got 57 with lines 2,3 and 4.I don't know what I want or what I am doing. I am recently separated and while I enjoy the peace that the separation has given me, I also feel lonely and as if I shouldn't give up so easily. The person whom I have separated from is perfect (in my eyes) in many ways except for a few things that I simply cannot put up with. One being their total lack of trust for me. Their constant questioning and doubting of my every move infiltrated my own mind leaving me unaware at times if it was their doubt or my own self-doubt that invaded my thoughts. A few months ago I asked them to leave. It felt great, as if a big weight was lifted off my shoulder.  As I mentioned, I enjoy the independence and peace that I feel. But I can't deny that I miss them. There is still passion, no longer much respect however. It hurts me when they are mean to me, it makes me sad and I cry. I feel unsatisfied, lonely and empty. Why couldn't they just have trusted me? What is it about me that is so untrustworthy? Or was it their own issues that made them treat me that way? And will I ever trust myself again? After all that time ""walking on eggshells"", trying to do things right for them, trying to have their approval, who am I? What do I really want? I feel so  lost. I feel that hexagram 57 is saying that I have some sort of seal, or ""way"" of being, of existing and that it is just there and there isn't much I can do about it. This makes me feel hopeless. Am I destined to feel this way? To be confused and make poor choices? This ""seal"" seems to have dictated much of my life.Line 2: Should I accept the person the way they are and settle for the perfectness I see in them, forgetting the things about them that make me feel completely sad and empty, never good enough, never true?Line 3: I am thinking about it too much. I need to just stop and let things do what they will do. ???Line 4: Accept this person for who they are. Accept the situation and be grateful. Grow from this experience. This is good. I am learning. I deserve the best. I don't know what to think or do. My feelings and thoughts are all mixed up and I am having a hard time distinguishing between the two. I ask the community to please give me insight and remarks on this reading. I really appreciate it."
826,"I always tend to look at multiple lines by seeing them as a sequence inside the question I am asking - as further below a moving line is (say for example 3 lines are moving) as earlier in the unfolding process and as higher up, as later. I asked the book about this approach and got 38.2 to 21. Well, only one line changing. However, there is the master in the narrow lane, apparently King Wen, is supposed to help me to remove the misunderstanding. There is also a hint that the meeting is coincidental and that I should not be embarrased to meet my master. I guess it means that there is not a straightforward answer to the question of multiple lines changing. Even one line changing can already be confusing enough, as it is in this case. I guess I have to accept this. This brings me to the resulting hexagram, 21, something between my teeth I need to bite through, but how? I fear that I have to accept that there is not this wonderful sequential order I would like to be in the book of change. Multiple lines remain a problem even the book can't come up with a straight forward answer, I guess."
827,"Lately I have been feeling like it is time to deal with something that I had put aside a long time ago but never really had closure on. I felt like I needed to separate myself and work on myself before I could understand it and my feelings concerning the other person involved. So in order to help me understand I asked the I Ching ""Why do I still want to be with this person? 54 unchanging. -I was very attached to this person and it seems I still am even though 54 represents an unequal and negative relationship.Then I asked, ""Based on this 54 I received, please advise me on the way to move forward concerning this person (moving forward as in getting past this or ""unstuck"" in this area of my life). The answer was 14.2.5 to 13. -This sounds like in speaking humbly and sincerely with this person there will come closure and peace to this situation after all this time and distance so that this will no longer be a nagging part of my life experience. That, or it is saying the wisdom learned from this experience will benefit me in my current and future connections with those around me?Out of indulgence and in the desire to know if I was a more positive than negative experience in this person's life I asked, ""In what way does this person remember me?""  58.2 to 17. -Seems to me that I offered only ""inferior pleasures"" (even though I felt like I was offering much more than that and it didn't feel inferior to me) and he has no regrets about resisting them in the end and through his experiences with me, has learned to trust and follow his inner voice and higher principles. Either that or he sees me as someone doing this. Either way it sounds like I shouldn't contact him because it seems one of us isn't good for the other. So maybe it isn't a good idea to have a conversation even if just to bring harmony and closure to the past.I must say that 58 confuses me. For a hexagram which is Joy over Joy it seems to talk a lot about keeping others from defining or reducing your joy and very little about being joyful or sharing it. Maybe I am confusing the idea of Joyous with Hex 16, Enthusiasm. I would really appreciate others' ideas on these hexagrams and lines. There is always something I am missing. Thanks. Last edited: Aug 11, 2010"
828,"Hi everyone.  Well, in the past I have asked not one but three times the same question (not all at once).  I'm not proud to have asked it, and I'm not proud to be admitting to it, but I have felt the need to do so.  I asked the IC  Will I ever have a fulfilling sex life? The first response was hexagram 25 with lines 2.3.5.6 changing to 34.  I believe that 25 is about having no expectations and 34 is giving the advice to not abuse power.  I don't want to pressure anyone to do anything they don't want to or are not ready for; and I don't want to be a pushy jerk.  I'm not interested in hurting anyone to fulfill my own selfishness.The second response gave me hexagram 22 with lines 3.5 changing to 42.  I believe that 22 is about outward appearances. I believe that 42 is about increase, but I've also heard that it can be about sacrifice. Maybe some people will think 42 makes things pretty straightforward, but I just don't feel that it is.The third response gave me hexagram 13 with lines 2.5 changing to 14.  I found an old post on this site where someone was explaining that hexagram 13 with lines 2 and 5 can be about a marriage, but I still feel 13's focus is on companionship.  I know there are a fair number of marriages that are strictly for companinoship and don't have much in the way of intimacy or passion.  Honestly, I really don't want to be in a sex-starved marriage.I admit that this is a subject that causes me great anxiety.  I really have a lot of emotions tied up in it.  I guess, from a psychological point-of-view, this stems from living through a childhood of parental rejection.  My parents were not very affectionate in any type of way.  I was even having a conversation with my father a couple of years ago where he literally said ""How often was your mother kissing and hugging on you?""  I answered the truth when I told him never.  He said ""Exactly!""  I've lived with rejection from my parents, and I've faced a lot of rejection from the small handful of romantic mates I've had so far.  One of the forms of rejection I've faced from romantic mates in the past has been sexual rejection.  I think a couple of them may not have been physically attracted to me.  I won't lie, it hurt me very badly. It has and still hurts me so badly that I'm afraid of ever getting involved again.  I just don't have the emotional fortitude to face the rejection and the pain again.Don't get me wrong, I don't want to just use someone, or be used by someone.  I want to be in a long-term, committed, monogamous relationship with someone.  I want us to like each other as people. I want for us to be friends and to get along with each other and to care about each other.  But I'm not going to lie to myself or anyone else about the fact that sex is important to me.  I know some people just want platonic companionship, and I'm not judging anyone for that.  I'm not opposed to being just platonic friends with such people, but at the same time I don't want to go down the path of trying to date a person like this.  And I don't understand why some people who are interested in sex will date someone they are not sexually attracted to.At this point, I'm honestly kind of afraid of the opposite sex.  If I must resign myself to a celibate life, then I need to begin to mentally, spiritually and emotionally prepare myself for this.Thank you to everyone for reading this very long post. And I have much appreciation to anyone who has any views on the three readings listed above."
829,"Greetings all!I would be very grateful for any insights you can give in this matter.I have a major problem at the moment - that is to make a decision,may be i have too many options and have hard time choosing, may be it'sfears of all sorts that plagueing me.Basically, my question about the best advice Yi can give me on my decisionmaking ability gave me hex 47 with line 5, it changes to 40.There are many aspects in this decision and it is extremely hard to make some sort of ""objective"" choice. Additionally there are other peoplein the picture and I have to take it into consideration as well.Curious about your insights.-CCP.S. This is the second time I post this question as the first onefor some reason digressed fron the original question to some sort of weird, competely irrelevant postings.Last edited: Aug 9, 2010"
830,"Surprise!  It’s another guy/relationship question!!I’m in a new city and have decided to actually put at least a little effort toward dating. (This is a big decision and change for me, as I’ve trapped myself for years now in a going no-where-after-the-break-up love affair!)After meeting a few different guys (just not much interest on my part tho), I recently met one who I actually found myself interested in and somewhat attracted to as wellAfter our first date, I asked the IC to give me a little insight into this connection and I received Hex 36.4 --> 55 and looking around the archives here tells me that’s just not all that promising for something good...This past Friday, we had date #2 and it seems to have gone well.  I enjoyed him and am very interested in continuing to get to know him/date him. So I asked IC to give me a picture of the dynamics surrounding this and received Hex 56.3.5-->12…..more very UNpromising stuff…ughh..Having a bit of a tantrum here that I can’t recall the IC often (if ever?) giving me *any* positive feedback on a romantic question.  I had convinced myself not to let that get me down before bc my previous ongoing “situation”  really didn’t have any healthy or positive dynamics surrounding it…so I could accept the constant negativity bc it just seemed valid and realistic (whether I liked it or not!)I’m not particularly desperate for a relationship by any means….nor am I sure I even want some full fledged, BIG thing romantically right at the moment..  However, I am getting older, have done a lot of work on myself to heal from my past relationship, have been “alone” for nearly 5 years…and DO have big hopes and dreams at not spending the rest of my life without a significant other…All of which the IC seems to dash almost immediately…and seemingly nearly  *every* time I even start to think, “hmm…maybe this could be something nice…?”  It’s getting to the point of depressing here…..and kinda as though I’m just foolish to even hope to someday share my life with someone!  Would greatly appreciate any thoughts (or encouragements?!) regarding this silly little rant of mine!"
831,"Recently moved to Las Vegas, Nevada...a little overwhelmed with lots of things, but I'm settling in okay all in allReally stressing  the job hunt.  I moved from what *was* the worst unemployment statistics state in the US to the new top unemployment area of the U.S.  I have some mild disabilities which add limitations to my necessary criteria for a job I can be successful at...ughhh... In addition, my experience for the past 6 years is in working with sexually abused children and I really know I need to get away from that career area as it was not healthy for my mental (or physical) state over a long period of time...So I asked IC for advice and insight on how to get a job that's right for me?Response:  Hex 40.2.6. -->35This looks wonderfully promising(yayy!!)...but I'm not hearing any real ""advice"" from it.  Any thoughts?Thank you so much:bows:"
832,"I asked the I-Ching why did the prayers not work for me?  I got Hexagram 23 with changing lines at 1,2,3,4 turning into hexagram 14.  I took this as things will fall apart and will seem as misfortunes right now but later I will have success.  Is this correct?Hex 23.1.2.3.4 ----> Hex 14?"
833,"PRIMARY HEXAGRAM49. Ko / Revolution (Molting) __ ______________above Tui______ __ __ below Li______RELATING HEXAGRAM36. Ming I / Darkening of the Light __ __ __ __  above K'un __ ________ __ __  below Li____________________________________________________________________With the above Hex that I cast, Hexagram 49 changing to 36I asked what to expect if I were to get back with my ex romantically? i thought it was changing lines 3.4.5 to 36can you tell me what would that give me in translation? Changing is what I read, that we would have to have change in the new relationship.Second Reading I gave to myself:If we did get back together, would the relationship be good?I received 46 - Advancing changing to 32the lines changed on the 1st (bottom of the HEx)Primary 46 - Advancing___ ______ ______ __________________ ___could not make out 36.can someone please clarify with me if i am reading these two hexagrams with the changing lines incorrectly.there are two questions here.  thank you for ANYONE who can help:bows:"
834,"Firstly may I thank you for the forum;please forgive my jumping straight-in for advice,it is not something I have done without much pondering and Google(ing). My situation is quite simple,I have recently changed job twice within a year,after my previous job lasted for over 20 yrs - but became intolerable. My new job is very different and not secure yet I feel strong enough not to be overly concerned. I asked i-ching about a young woman I have just started working with,she's much younger than me (a lot) yet she initially showed a lot of interest in me,I enjoyed this attention and our friendship was easily noticed in the small training group we are both members of. She was teased - and it was embarrassing for both of us,in fact I felt like a ""dirty old man"" (I'm early 40's but look and behave much younger). I decided to let the situation fizzle-out but as corny as it sounds (I'm also aware that long term the relationship is unrealistic) she has woken something up inside me,I felt like I was falling in love,not love,just falling,but a feeling I've not really felt before. Anyway,I'm very intuitive and have been since about 9 yrs old;I decided to leave the situation - just seemed best. Yet somehow,for some reason I want to contact her again,thus my i-ching which was 51 changing line 3 & 43. I've searched this site and a few others but I'm not sure if this is suggesting I push or retreat - any advice would be greatly appreciated. Thanks again P1"
835,"Six months ago, I first asked about this relationship, which has since been through various ups and downs.  Most recently I decided to let go and stop wondering about this man; leave him to his own thoughts.  I thought that would be an end of it.  But, after a week or so of silence, he began turning up along the way with apparent ""serendipity.""  Now I realise, he was making opportunities to talk. And today he's asked me to the theatre next week, which I accepted.Now I want to know if this is for real and what to expect from here forward.  I'm never good at phrasing relationship questions, but here goes.  I asked ""What is the future effect of this evening out?""  The result:  Hexagram 42.1.2.4.5, becoming Hexgram 64.  I'm never that happy with Hexagram 64 because I simply can't relate to it's significance in a practical situation.  The changing lines look marvelous -- I always love the ten thousand tortoises line that sounds just abundantly positive -- but when the outcome is 64 I'm just concerned because that is relatively meaningless to me."
836,"Contemplating a certain course of action, two readings: a) result if I move forward - 12.2.5b) result if I do nothing - 7.4It would seem from this that either is acceptable, but I'm wondering if 12.2.5 is giving me a nudge."
837,"With the Hex that I cast, Hexagram 49 changing to 36I asked what to expect if I were to get back with my ex romantically?  i thought it was changing lines 3.4.5 to 36but you stated that it was only 4.5can you tell me what would that give me in translation?  Changing is what I read, that we would have to have change in the new relationship.I then asked again, if we did, would it be good?I received 46 - Advancing changing to 32the lines changed on the 1st (bottom of the HEx)Primary 46 - Advancing___ ______ ______ __________________ ___could not make out 36.thank you Willow.would appreciate your help:bows:Last edited: Aug 6, 2010"
838,"Hi All,I am in the process of launching a new venture with this new moon today.Casting a Yi Oracle for this start I got hex 38.2 >>21 or in my perspective:Screens (Screams) to Digging In. How would you interpret the Yi's advice going forward?Thank you for your assistance.Frank"
839,"Hi, IC Fam: First and foremost, I'm kind of new to this. Well sort of a novice and have been using the interpretations of Karcher and Huang for about 6 months now. Find them both enlightening. I love this IC forum. Very informative and a wealth of helpful interpretations to similar questions I ask the IC. The people here are GREAT! I'm very grateful for you all.   My question or should I say dilemma:  For about 3 yrs now I have been in love with this man. I have gotten hot and cold responses from him. For about 1 month now, after a nasty discussion, we have stopped communicating. He pretty much made it clear that he doesn't feel the same way I feel for him. I feel I should just leave it all alone and move on with my life. Yet this person is frequently on my mind and i still feel a connection to him. So I asked the IC ""Where do I go from here with X?"" I received Hex 27.6 > 24. Karcher says Hex 27 Nourishing is to ""go back and correct things. Have no fear. The way is open"" Yet I don't understand what he means by ""launch a brand new enterprise. Your ideas will be rewarded if you do."" Then he says ""something significant is returning. Be open and provide what is needed."" Huang says ""Nourishing is completed...'The sage is aware of the danger and overcomes all difficulties while crossing great rivers. It portends great blessings."" I believe the IC is telling me to not be afraid. Go back and fix the problem. Honestly, I'm a bit apprehensive because i don't want to go back to the same negative cycle of trying and not getting nowhere with this person. Karcher's ""Adversity, hungry souls and angry ghosts"" are probably the past bad memories that I don't want to re-live. Also I have asked the IC a few questions previously, all within a month or two, about this person and constantly I get Hex 24 Return/Turning Back as a future hexagram. Is it so clear that this means he will come back to me on his own? So my next question was, ""When he returns will it be sincere and real?"" IC response was Hex 43.1.3.5 > 40. I get this to mean there will be a Breakthrough (Hex 43) but there may be some difficulties. Can someone please interprete what the changing lines mean cause the are a bit confusing to me? But  it seems the difficulties will be removed Hex 40 Deliverance. Deliverance also says, Leggs Interpretation, ""Advantage in southwest. There will be good fortune in coming back to the old condition..Superior person forgives errors and deals gentiy with crimes"". I guess it would be good for him to come back; or for me to take him back; and for me to forgive him or vicer versa.   I tried to get a timeframe. I know Hex 24 is around Spring but the Spring has passed already. Is there another timeframe since I am asking now?I would really appreciate some clarificiation. Is there something else I should be considering here that the hexagrams are saying? I am grateful for any insight from the IC forum Fam on this matter.TY very much. :bows:Last edited: Aug 3, 2010"
840,"HiI'm currently applying for a canadian school and a scholarship opportunity arose for me, the thing is that I'm very worried that maybe I'm not the candidate that they're looking for so I asked the Yi ""What do I need to do in order to get the scholarship at VFS?"" and got 1.2.4 > 37.I see both lines in hex 1 as me having to show my true greatness but not by academic merit but perhaps for talent and desire, however I just don't understand how hex 37 fits in the reading context. Can anyone please help me decode this one?Thanx"
841,"Dear friends,You have helped me with my readings several times by giving your insights.I need it again to better understand an answer I just got to the question ""what is my path?"".I am a bit between two worlds at the moment, gaining more and more understanding on myself but still a bit lost...feeling ""temporary"".Question:""what is my path?""This is the answer I received:20.2.5.6>7.Can someone help?thank you very much"
842,"Hello again!I asked about a boy who recently I got friends with. I asked: what are his intentions towards me? And got 30.2,4,5>09Does it mean he has second intentions and it is not just 'friend' stuff? Because it talks about strong feelings that are just superficial, right? Or am I wrong. I got more confused by relating the lines to the second hexagram, that I think is quite nice and solid.Any help I would really appreciate.Thanks!!"
843,"Hey all! Thank you for reading my post. There is this person in my life that I do not really like and surprisingly I find it hard to get rid of him. I do interact with him once in a while, as a former co-worker and just a soul I can talk to, but otherwise he is pretty useless and quite annoying. He wants something with me, but this will never happen. So I asked how about I stop interacting with this weirdo altogether and  got 42.3.4 to 13. I truly cannot stand him but he is very very clingy. This reading seems to advise me on how to go about it - bu talking to him? Hmmmmmm. Not sure what I can say to him. He seems to be not all there. -CC"
844,PLEASE?THANK YOU.49 CHANGING TO 36I WOULD SO APPRECIATE GETTING THIS MYSTERY SOLVED.THANK YOU.:bows:
845,"Hi and thank you for reading yet another post from me. I've been having all kinds of symptoms lately, all pointing into some kind of disbalances in the body, hormonal and such. I'm not taking any drugs. When asked Yi about for the best advice regarding my physical health I got 49 with the changing line 5. The resulting hex is 55. Revolution again? I do not like it. One person with certain telepathy abilities who knows about my ""knowing "" experiences told me it is because my magnetic field is shifting or changing (?), I have all these symptoms, so nothing really serious. Your ideas are so valuable to me, please do not feel shy and let me know what you think.Am I becoming a tiger?  Or a cougar   Thanks!-CCLast edited: Aug 2, 2010"
846,"I am considering marrying S, so I asked the oracle ""What would the result be if I narried S"". The answer was 53.3.4.5 -> 35I have two questions.1. I made a typo in the question -- narried instead of married. Will this affect the result? Or is the oracle responding to the question i had in my head?2. I see the result as positive -- there may be certain issues in the beginning, but there is eventually a great deal of (spiritual?) progress. Is my reading correct?Thanks in advance.TFoodie"
847,"hello,I am new here but like most things in life, I'll jump right in with a question.  Of course this would be about a relationship.  Hex 29 with  second line moving to Hex 8.  I have asked this question about my future in an ongoing relationship.  When I ask why I am with this man, I received same answer.  So, how does mastering danger (following your heart ?) lead to union?  Do I have this right?Mariah"
848,"What can I expect if I get back with my boyfriend romantically? --------------------------------------------------------------------------------I received Hexagram 49 - Radical Change___ ________________________ _________The above Hex shows me that there will be a change in this relationship (good/bad?) but that there will be a transformation (Radical Change)i have lines changing at 3.4.5 TO:Hexagram 36 - Brightness (Hidden)This is where i believe that if we should get back together, it would have to be calmer and slower? Not too fast???please let me know if this is correct?thank you also, since the post I asked months ago, asking Will There Be Any Major Changes In My Life, Gato replied that My Lover Will Come Back In August.do not know if this is the manifestation of that question. I have had one or two relationships since asking. just curious by the way...thank you:bows:ARE THESE LINES CHANGES THAT I INDICATED CORRECT?  OR ARE THEY CHANGING AT 2?  PLEASE HELP?Last edited: Aug 5, 2010"
849,"Dear All,Asked the IC what is the potential of my current relationship long-term ( i.e., is this the real deal?)- answer 44 1.5.It seems that line 1 refers to the minor power struggles that we go through in this relationship, and reminds me to stand my ground calmly, promising good fortune in this case, and warning against being too accomodating of his preferences, else he'll get spoiled. Well, no relationship is perfect!..The conditions in line 1 being fulfilled, line 5 seems to be promising a union blessed by Heaven, according to Karcher. Surely, too easy an interpretration? Then again, the question was pretty starighforward...?Your comments are greatly valued as ever - before I get ahead of myself and get too happy about this reading "
